osm_id,shop,name,addr-housenumber,addr-street,addr-city,addr-postcode,the_geom,osm_original_geom,osm_type
45826514,mobile_phone,Orange,,,,,POINT (341045.63527917233 6557143.213213112),"SRID=3857;POLYGON((341026.202510031 6557138.94563389,341038.469917916 6557122.72809917,341064.463019017 6557145.24661107,341059.642885065 6557153.33784508,341052.863528076 6557164.78142605,341026.202510031 6557138.94563389))",way
48696154,mobile_phone,Orange,,Place d'Armes,,,POINT (867072.770164878 6243404.324767121),"SRID=3857;POLYGON((867059.944063434 6243408.41598513,867061.569328 6243400.74113522,867062.882897991 6243394.5201166,867083.298892602 6243400.38613131,867085.7479214 6243401.18066388,867084.556802848 6243408.97384894,867083.521531584 6243412.10126795,867082.630975658 6243411.88150334,867082.285885236 6243413.31842594,867059.944063434 6243408.41598513))",way
59127945,mobile_phone,Orange,6,Rue de la République,Moissac,82200.0,POINT (120729.52632190134 5481628.581842655),"SRID=3857;POLYGON((120715.557129018 5481629.41498005,120717.727859088 5481621.52417895,120722.102715077 5481622.1907886,120742.49644579 5481626.314468,120740.292319872 5481636.68568492,120715.557129018 5481629.41498005))",way
59130471,mobile_phone,,4,Rue Malaveille,,,POINT (120958.8080724981 5481545.274348539),"SRID=3857;POLYGON((120954.660263293 5481534.80332729,120954.69365914 5481532.15241679,120959.52492504 5481532.22992878,120959.747564022 5481536.49308935,120962.964697306 5481536.38457251,120963.39884332 5481556.3361901,120955.049881511 5481557.23533162,120954.849506427 5481541.68639672,120954.660263293 5481534.80332729))",way
60050203,mobile_phone,Soft Mobile,,,,,POINT (339548.86087933526 6555109.76976847),"SRID=3857;POLYGON((339536.313577203 6555110.29874234,339537.749598634 6555105.61365551,339538.673550408 6555102.59554854,339561.98385178 6555110.00044085,339561.571969664 6555111.29892976,339559.69067027 6555117.14213238,339558.555211463 6555116.82628348,339551.753590576 6555114.82590742,339553.089424465 6555110.10572373,339549.760971691 6555109.14063074,339548.391741954 6555113.84326673,339536.313577203 6555110.29874234))",way
60050223,mobile_phone,,,,,,POINT (339544.35687864554 6555123.717504512),"SRID=3857;POLYGON((339532.228151891 6555123.89779221,339533.419270442 6555119.91458431,339534.309826369 6555116.96666076,339556.529196731 6555123.63458458,339554.536577846 6555130.42534411,339553.300931498 6555130.05685314,339532.228151891 6555123.89779221))",way
60050248,mobile_phone,,,,,,POINT (339564.22830698104 6555055.196190868),"SRID=3857;POLYGON((339552.777729891 6555055.920314,339553.40111904 6555053.84976461,339554.614501489 6555049.77885543,339555.137703096 6555048.04170084,339574.963704406 6555053.84976461,339574.451634749 6555055.41145012,339570.488660877 6555054.27089325,339569.998855117 6555055.90276697,339573.995224836 6555057.09596517,339576.24387855 6555057.71011136,339574.818989068 6555062.46535918,339552.777729891 6555055.920314))",way
62476049,mobile_phone,Phonéo,3,Rue du Commerce,Chinon,37500.0,POINT (26658.103378412183 5969236.426127092),"SRID=3857;POLYGON((26653.9381253746 5969232.13234826,26660.0495654191 5969230.75697241,26662.2870871841 5969240.76119936,26656.1756471395 5969242.05470908,26655.0513202825 5969237.30638318,26653.9381253746 5969232.13234826))",way
64327941,mobile_phone,Boutique Orange,38,,,,POINT (-27757.242183122442 5884831.152377591),"SRID=3857;POLYGON((-27770.8288404016 5884825.27644795,-27769.7713052391 5884823.11971326,-27763.2813789259 5884822.94133672,-27762.4464827449 5884811.97929509,-27751.1809502766 5884818.07652366,-27747.3404278443 5884847.20057816,-27760.0308497947 5884848.18975988,-27760.8768779247 5884843.04925936,-27762.0679964762 5884839.46550525,-27762.4242188468 5884839.53036957,-27764.3166501902 5884832.62232275,-27764.6283447645 5884829.10343715,-27769.2926314287 5884829.93045622,-27769.5041384612 5884829.5250547,-27770.4392221839 5884826.47643591,-27770.8288404016 5884825.27644795))",way
65461894,mobile_phone,Bouygues Telecom,,,,,POINT (65821.27917161115 5411234.400504724),"SRID=3857;POLYGON((65812.4948390993 5411228.48940201,65817.8270427083 5411226.58173486,65819.9643769315 5411225.81251435,65825.1518652025 5411223.96638538,65830.2280339826 5411239.59695563,65825.6082751147 5411241.12001457,65822.9366073357 5411241.96615854,65823.3707533498 5411243.64306227,65817.7825149119 5411245.41227296,65812.4948390993 5411228.48940201))",way
67720826,mobile_phone,ICS,,,,,POINT (209927.6776492429 5807687.007340437),"SRID=3857;POLYGON((209912.09137093 5807687.34506877,209921.28636087 5807672.74931971,209943.249696403 5807686.60563597,209934.054706464 5807701.29785582,209912.09137093 5807687.34506877))",way
